"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",4376.2441,3689.4712,13388.7554,4714.8147,6044.1866,1839.2189,3419.7183,1398.6093,619.0304,4656.3441,821.9146,3859.3405,5921.95,7778.0598,0,7154.4211,3683.1947,9225.6002,3293.4048,1965.7282,4507.4142,4847.7474,1036.7073,1384.7322,278.6443,4564.4286,3551.2905,7114.6329,5935.4108,7140.1012,4590.8689,6633.3223,2917.1781,6517.3544,6969.4226,8980.7801,3332.2816,6139.6105,5342.2858,3839.9153,244.8282,7166.9699,1371.5366,5609.1378,1481.0214,991.279,13381.89,3979.7037,1371.4357,6845.8879,5875.2112,7341.4341,2660.1059,0,6260.0448,0,7196.3595,8320.8198,3537.0514,776.9327,5538.6844,8388.8017,3185.1323,132.8534,6209.9608,5509.3052,1950.1106,7195.6761,4425.4555,13638.3896,7454.3695,6133.8688,3848.8328,5328.4188,2965.079,4330.8628,3518.0183,1980.0889,9281.0635,3375.7854,940.2755,1932.7538,1386.2586,7715.4028,7025.1771,1786.7609,5949.8514,2845.9368,6207.3383,99.0628,7994.5679,4225.0353,4899.5595,808.868,2930.2024,6833.5012,1836.5407,3530.0571,7112.2466,5595.0859
"SBS2",0,4890.5495,5332.5994,14321.3293,3396.4104,10189.8706,3178.2928,1685.9324,17098.3826,2798.7707,19837.587,10477.2669,7994.8587,3351.3173,1025.6736,3014.0195,4981.5122,3679.7639,163.7945,16144.2786,14163.2096,2800.541,5819.2045,1489.5604,1199.8174,0,39.7538,4863.6952,4609.5813,3100.2885,0,5591.9572,5909.1502,2921.8734,4611.3195,3898.2431,3360.4712,3439.414,8565.1975,1871.3387,1217.6222,4775.011,1422.398,12589.0497,1674.7043,5898.4652,5234.3447,4914.6502,723.3733,5333.1603,4428.6926,2634.3945,15003.5032,1258.531,79.1127,1030.9128,2685.0441,3298.8196,9334.3146,20013.2329,3179.1315,3693.5547,17202.4911,1188.9187,2954.4043,12475.4697,4025.859,3082.9179,123.7211,5432.4747,2635.9686,3518.8863,1915.9885,8514.2627,17238.1491,8304.3852,3224.9728,15781.4686,3904.2214,19097.3279,5787.5855,4057.6456,799.4523,11984.1514,3125.9584,7815.0316,8157.8443,1082.3588,4547.9782,1215.3313,12144.463,8368.0749,13932.0308,5048.2298,16932.4739,5408.735,9951.4817,3154.8101,2671.2642,3181.2939
"SBS3",76.7578,0,0,913.1789,0,0,0,0,0,0,0,0,0,0,787.9407,0,0,0,0,0,0,0,0,536.085,576.6684,0,219.2286,0,0,0,0,0,0,0,0,0,0,0,0,0,1116.6858,0,0,0,0,58.6114,36.5276,169.0372,0,0,0,663.2655,0,0,471.5141,0,251.467,433.1783,13445.67,0,0,0,0,0,0,0,0,0,0,0,573.5629,0,493.1339,0,0,0,0,0,0,0,0,259.5084,0,0,0,0,0,0,15.212,274.6223,0,0,0,23814.0846,0,0,0,0,342.4261,0
"SBS4",0,0,0,0,0,0,0,11949.6391,0,0,0,0,0,0,25747.7474,0,0,0,0,0,0,0,0,12719.846,22449.2315,0,0,0,0,0,0,0,0,0,71.1249,0,227.0272,0,0,0,21782.5516,0,12003.3044,0,12307.7108,0,0,0,8540.0411,0,0,5.3305,0,24458.0315,128.6933,25710.9334,0,117.6622,0,0,0,0,0,23273.8666,0,0,0,0,0,0,0,0,173.7093,0,0,0,0,0,0,0,0,0,7881.5895,37.501,0,0,0,97.0907,155.2193,22928.9681,0,0,67.6358,0,0,0,0,0,0,528.2868
"SBS5",11323.868,10641.6075,26433.3674,6415.2327,20437.6123,13599.9573,23500.465,29922.9306,9835.9896,29392.3281,4539.4758,7667.184,15186.6549,23107.0319,18232.1454,23969.0556,12203.0897,19748.1752,7557.411,10028.5536,7931.0323,27984.2573,4771.524,28520.0349,21250.5496,11109.456,7712.9678,21444.816,20662.9257,23528.6459,12636.2922,30468.0907,4281.5539,7984.446,19755.8976,19992.3551,20870.8367,20319.929,8855.9413,12286.5329,20878.3849,22023.0647,29254.6514,11313.636,29935.8317,3824.0052,25931.9467,9400.1532,15703.7212,21858.4994,20776.5674,9778.8853,5471.8697,18039.6701,9056.1293,18502.1206,10366.947,13654.8634,8523.8563,4998.2,24227.1742,13510.0134,14568.7615,21472.0734,8896.1257,11066.8002,12122.09,24802.6743,12833.8571,23849.0678,9527.8826,19503.5058,11836.8504,10481.6132,16513.8466,17664.0449,20733.8741,12135.303,19775.6918,9839.944,5512.9201,11275.5921,14729.8833,22589.5069,23701.7906,27637.3354,16942.6605,20853.2657,22328.0987,21669.4312,24409.0901,18882.7698,6803.0817,12020.8882,16356.5202,21723.4113,12756.9109,22285.5491,9237.4742,21782.6103
"SBS6",301.9245,120.5826,0,98.921,242.344,0,15.9138,227.3321,219.0069,0,63.6479,128.7993,435.4874,0,63.5585,0,0,197.6653,402.0711,309.7239,545.2155,0,0,121.9071,65.2388,0,0,311.9598,0,0,0,0,0,0,0,497.7805,448.7942,251.882,0,0,0,452.98,0,407.1753,181.9447,153.9876,50.7537,0,9.0247,0,447.5596,0,51.7154,13.3297,0,0,0,0,27.8397,0,178.8627,0,96.5212,0,0,0,0,0,393.6634,0,0,0,125.4601,0,0,0,375.7086,19.2514,0,104.8136,0,0,0,347.3842,0,0,0,0,0,250.8197,0,342.0421,0,148.6691,97.476,0,0,31.0978,117.2288,424.2288
"SBS7a",43.5315,0,258.6817,0,0,77.7395,0,0,0,0,274.8181,26.3665,0,0,41.1588,0,0,87.805,285.0291,0,0,157.0863,841.4373,308.0975,244.1891,28.722,185.5441,0,0,0,0,0,160.4444,0,121.1264,117.3592,0,0,0,30.5317,0,0,360.9943,0,0,886.8253,42.5553,97.0903,0,0,0,87.3756,0,17.545,0,0,203.9574,105.1973,15.286,0,250.5355,0,47.1046,0,75.1506,119.196,0,158.4968,60.2325,51.8582,0,0,0,82.7796,0,0,143.6247,0,77.4027,0,1014.5193,0,14.6605,0,0,40.8956,0,0,35.2969,0,0,0,97.3802,0,159.2093,279.6763,0,210.6326,89.8824,0
"SBS7b",0,0,0,0,0,0,0,0,0,79.8613,67.0942,0,0,0,0,60.2527,0,0,0,0,0,0,2062.4774,0,0,0,0,0,0,0,112.6827,196.92,0,0,0,0,0,0,123.2106,0,0,0,0,0,151.9405,1953.4693,0,0,0,0,0,0,0,0,0,0,0,0,105.5688,0,0,0,0,0.2693,0,0,0,123.3743,0,0,0,0,0,0,76.224,0,0,0,0,0,2279.0975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.695,0,0
"SBS7c",116.1389,0,59.4588,0,0,47.9573,49.9386,19.6828,0,0,0,30.1703,5.0038,0,17.3203,111.3201,249.7479,26.9983,120.907,37.8263,91.8413,0,0,41.8902,0,0,75.0326,77.7319,0,90.9654,0,0,67.0566,0,92.4582,50.938,0,0,59.6827,220.3439,2.0831,85.9039,0,0,29.9338,94.6198,0,0,51.7891,0,0,0,83.6836,0,139.1179,0,96.4008,0,0,0,0,188.8249,38.7831,0,56.0243,0,0,48.3164,89.146,0,168.4,0,213.8148,0,0,0,0,0,0,9.1602,22.4548,0,78.314,0,0,0,0,0,0,0,20.9991,0,0,79.0645,33.2889,50.9177,0,5.4366,18.7677,0
"SBS7d",0,4.0862,0,0,0,0,13.2708,46.5826,0,0,20.6985,68.158,28.1821,10.9509,0,0,0,0,118.6498,23.8875,36.5958,0,218.2825,47.878,0,68.2735,1.6078,83.7136,0,19.2584,0,118.1965,19.4742,40.8022,0,0,65.9237,14.4913,0,0,124.1161,0,0,0,97.6729,177.589,43.816,0,7.9419,0,0,0,38.9893,0,0,0,0,31.5737,2.2324,0,0,0,0.1049,0,13.0879,55.0716,64.5305,0,0,82.5757,31.7134,0,0,0,0,13.1809,1.1787,0,62.0099,4.8998,219.3085,18.6522,0,93.0025,109.569,0,14.9606,0,86.7193,0,77.9878,67.7162,67.0379,18.1051,0,18.6996,0,0,0,63.0547
