"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",111.5076,98.3916,377.4134,158.0408,246.9221,66.8604,118.518,136.933,95.0977,144.998,115.7109,121.9438,265.6728,249.007,0,213.4806,166.736,423.4444,111.544,142.7842,164.94,125.4761,83.5376,20.9073,11.3613,180.765,127.5001,226.3302,227.7893,238.7319,136.4537,188.2059,101.8762,289.4809,240.7344,300.3066,116.9764,241.5075,259.9318,99.3075,113.036,233.2302,37.0097,181.5038,73.2107,45.6436,431.8839,101.1068,22.9698,189.6519,193.9966,245.5126,111.8885,8.266,172.5837,0,197.8804,315.7377,89.481,37.7312,228.6665,261.588,89.0994,0,183.5792,180.9937,53.1045,245.4451,164.5053,439.3463,292.115,210.228,232.5228,157.1163,78.0615,214.2361,110.7739,60.6183,332.3039,180.4679,15.5341,136.5066,29.9004,310.4865,206.2809,92.4834,181.5907,168.9974,257.2213,9.7718,339.9673,143.6371,254.639,32.1904,111.5498,187.9773,51.5759,114.7698,336.7705,216.9694
"SBS2",0,109.4718,188.9805,437.7681,106.6503,358.6537,85.3033,61.5944,525.1358,91.4847,660.3399,372.9384,301.9614,105.0933,15.4951,72.4575,149.3449,104.5786,4.2011,534.0672,465.4565,83.7489,181.9571,33.5803,38.7285,0,0,158.1169,152.0893,72.6543,0,172.1009,179.4847,76.8369,109.8113,101.0881,90.6399,110.1583,288.5275,92.6146,37.2162,135.2014,35.3028,359.0245,36.6292,164.5994,170.6896,159.9678,19.1449,160.7798,128.681,85.3554,410.8569,51.4391,0,18.2233,110.2295,124.9492,310.7465,630.3265,84.0662,104.0952,536.0745,36.8227,113.1876,375.8778,149.9434,83.1466,0,156.9119,81.0757,89.8533,63.9085,288.9725,542.9212,261.9868,134.0633,473.5814,127.7333,570.0419,164.9131,144.9693,26.1569,358.9353,149.5945,260.3868,230.4214,70.0827,139.1425,16.3781,385.1179,266.5631,512.7251,122.1568,580.1252,196.3894,294.2782,112.5846,58.6899,106.473
"SBS3",0,0,0,0,0,106.9555,0,0,0,0,0,69.614,0,0,0,0,0,0,0,0,167.0525,0,0,0,146.5606,0,53.9306,0,79.9744,0,5.6112,0,0,0,0,0,0,0,0,0.6169,0,0,151.4514,0,0,0,0,216.7696,0,0,0,0,0,0,0,0,76.4114,0,324.8771,109.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6068,0,0,0,0,661.2909,0,0,0,0,0,0
"SBS4",0,0,0,0,0,0,0,390.5577,27.4932,0,0,0,0,0,729.2798,0,33.3306,20.5024,0,21.7811,19.145,54.465,123.307,151.3378,654.0099,0,0,0,0,0,0,0,16.5058,0,0,0,0,0,0,0,809.5257,0,416.5585,0,373.5622,0,0,4.0044,0,0,112.9725,0,0,774.8532,20.6439,593.9789,65.8016,0,0,0,0,0,0,655.8201,0,0,0,0,0,0,43.0115,0,65.9863,43.0976,0,0,0,0,0,0,0,0,267.3857,0,50.204,0,0,38.2741,64.9933,610.274,0,0,0,0,0,0,0,0,0,5.7077
"SBS5",15.4293,228.6221,762.4741,0,595.0127,391.7052,461.0326,823.8157,310.5517,796.7655,48.3835,0,347.2699,706.1416,373.4572,808.4413,523.8588,158.6272,0,268.842,0,790.2403,109.2805,823.6564,282.0966,0,0,474.846,0,612.6981,294.7248,822.6026,0,0,282.7413,152.5541,450.9853,269.8797,0,0,635.0965,146.8037,564.913,0,634.2757,228.693,662.2069,167.5275,57.5692,452.6593,392.0438,245.6945,18.2258,193.0437,73.9501,305.8355,0,504.5593,34.936,0,641.8544,82.9097,452.7472,690.6408,0,0,0,404.4054,0,313.9278,372.0634,334.9197,185.8541,0,420.1756,539.7649,463.4038,0,711.9362,0,209.9525,355.6082,193.787,66.525,408.1706,518.5524,458.2445,683.1175,354.0218,236.8076,497.1117,492.8872,0,133.6776,335.2313,418.0025,58.6452,279.5411,170.3463,374.5904
"SBS6",59.954,50.7223,60.0937,0,0,0,0,11.7869,0,0,0,13.1461,0,1.5906,13.9183,23.4306,0,0,0,0,0,41.6417,0,43.0552,24.7289,0,0,48.6941,0,15.5267,0,23.8915,0,0,0,0,0,0,0,106.177,0,79.9325,47.6351,0,0,0,0,0,0,0,0,0,0,0,63.4,3.1708,0,26.8649,47.4036,16.1856,0,33.5412,0,0,0,35.2869,39.1493,46.9427,4.2126,36.8944,0,33.7586,0,54.9929,0,24.2317,0,9.1311,32.1539,0,0,0,0,0,1.4013,0,0,3.6303,0,0,0,0,0,0,0,31.2845,0,0,0,0
"SBS7a",28.1598,71.0302,0,0,16.1911,0,42.4214,0,3.6949,12.4063,0,0,0,8.7571,0,0,0,0,24.9167,12.3221,0,0,29.1295,0,2.9611,0,0,6.7348,0,4.2396,21.071,49.1866,0,10.3157,12.4756,0,20.8026,0,0,0,0,33.0689,0,0,0,33.0083,0,0,0,11.997,0,0,57.217,17.6141,0,0,0,0,0,0,0.3977,9.6885,0,0,0,42.7247,0,50.7741,0,0,0.66,0,0,0,0,0,0,0,0,0,61.9374,0,2.6696,0,0,0,0,0,6.0974,0,0,0,0,0,0,5.3532,0,0,0,12.3153
"SBS7b",0,0,0,0,0,0,0,29.897,0,0,0,0,0,0,0,0,52.3833,0.9291,0,40.6244,0,0,54.7652,0,0,0,19.744,0,0,0,0,0,0,0,0,38.0566,0,0,0,7.8066,0,0,0,0,0,67.9694,0,0,0,0,0,0,0,0,0,0,0,0,0.2333,0,0,24.7884,0,0,0,20.9227,0,0,22.2908,14.7885,0,0,0,0,7.296,0,0,0,0,11.6439,35.0814,0,0,0,0,0,0,29.4933,0,0,0,0,0,0,0,0,0,0,0,0
"SBS7c",0,47.1085,9.5857,7.6813,5.413,0,7.9501,0,0,15.4215,0,3.8134,15.1637,8.6845,0,27.2718,0,83.5067,45.4124,0,0.5344,16.8388,41.9552,0,6.3993,0,0,20.5791,0,0,0,0,76.0097,128.7261,109.822,23.1005,0,11.9782,0.5067,18.6244,7.539,0,0,46.7096,0,39.504,0,8.7964,37.383,0,0,0.3732,56.7079,0,1.0325,41.9408,26.6297,20.4154,0,0,4.9987,0,0,0,0.0845,0,88.4735,0,0,6.73,0,76.8683,38.4327,84.6736,0,0,0,0,40.579,99.4433,52.9571,73.3575,4.4984,0,0,52.6781,35.0273,15.0851,0,102.0881,9.1348,0,3.9005,23.763,44.858,0,0.4989,0,35.5206,28.472
"SBS7d",0,0,0.4367,0,0,0,0,0,0,0,0,4.6872,0,0,12.4092,0,0,13.2966,0,0,0,26.4984,2.8709,0,0,0,0,0,0,4.6701,0,22.8537,0,0,0,0,14.0708,3.8682,0,0,0,7.521,0,0,0,0,0,0,0,0,0,9.8167,17.079,0,0,0,12.2272,9.2122,0,0.608,14.0884,0,0,7.5569,0,0.4884,11.4824,8.4899,0,16.6064,0,20.7366,29.7644,0,0.8294,0,0.0723,5.3128,0,11.9766,12.5769,0,10.4399,0,6.5366,0,0,1.5347,0,0,14.7386,16.9586,9.575,4.2668,0,14.1961,11.4859,0.6466,2.4274,2.7371
"SBS8",113.2918,12.1518,0,1.1564,0,111.1577,0,0,0,22.0563,14.9732,84.4465,18.6199,0,27.6574,75.2938,88.7005,0,49.3621,24.3996,17.905,17.3561,0,122.3173,3.1054,0,16.0682,0,37.586,0,48.4965,46.2123,79.7531,0,0,0,40.2305,0,19.4182,0,0,73.8405,79.2466,0,23.256,0,28.6809,0,114.133,5.0885,0,84.007,41.675,0,0,47.2008,76.8302,0,0,7.9161,20.8947,123.2294,0,35.7219,68.6006,0,38.7064,0,0,0,25.7591,0,33.8772,0,0,0,0,0,0,0,136.9324,34.5137,2.8698,0,0,0,0,35.3539,36.2107,0,0,47.7568,85.6524,0,0,84.6673,56.742,0,0,0
"SBS9",0,0,0,0,37.9494,19.5918,0,0,0,87.5211,0,38.7172,15.8002,68.2644,0,41.1444,0,0,83.6264,64.1995,0,0,3.4369,8.2168,0,0,0,0,18.5571,12.8056,79.2422,19.0828,171.7818,32.0289,0,0,0,12.8076,0,0,0,28.055,17.9879,0,0,0,88.5885,0,0,2.0089,3.2239,11.8122,134.7164,112.0855,0,0,0,0,0,38.9943,0,0,0,0,26.8956,0,22.3809,0,0,0,41.4963,0,129.792,0,11.5135,0,0,0,0,0,132.9496,50.7693,0,0,27.4823,0,0,0,18.9518,0,32.5915,0,92.3111,15.9884,0,0,5.9593,0,56.3479,0
