"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",0,0,29.2205,0.5612,6.3754,0.731,0,0,0,2.266,0,0,11.7063,18.6887,0,20.8991,0,20.2667,0.2433,0,0,0,0,0,0.4817,0,0,4.2178,9.0742,23.8984,0,16.125,0,11.3783,25.7232,20.7651,0,11.204,10.5955,0.0548,0,14.1701,0,6.8476,0,0,32.0317,0,2.056,11.1959,9.1486,7.5178,0,0,10.9493,0,3.2928,23.2435,0,0,23.5378,19.384,0.1343,1.7164,14.4151,15.8831,0,8.9697,2.1335,28.7125,18.3456,19.4584,0,11.5929,0,0,0.8772,0.5404,13.252,0,0,0,0,16.1382,23.803,0,12.9418,0,7.1873,0,8.1346,0.3255,0,0,1.8227,9.962,0,0,12.3891,7.7427
"SBS2",2.4413,4.8753,11.8567,39.8402,0,30.1335,5.0117,1.9068,34.5222,0,29.6149,18.7388,14.9962,0,0,0.6348,0,0,0,27.9626,28.6088,0,8.4741,3.3593,2.7572,0.26,0,0.4734,1.7066,0,0,3.8952,11.2917,0,0,0,0,0,18.2799,3.7334,0,0,0,29.1246,0.9021,13.7043,0.1143,6.7844,1.6642,2.6547,1.3536,2.1018,31.838,0,3.7344,0,4.0121,2.5327,24.5909,35.4374,0,1.7163,26.2096,0,0,10.4593,0,0,0.1284,9.1147,2.0215,1.4725,5.4349,15.3428,35.2043,14.6024,0,40.1233,1.6887,47.5056,10.1976,1.0374,0,22.6013,0,19.5811,20.02,3.5536,1.3676,2.8124,30.8124,15.6491,30.0308,2.9887,32.3094,10.878,18.4304,0.6079,3.4193,0
"SBS3",13.9853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5208,21.7083,0,0,0,0.7856,0,0,0,0,0,0,0,0,0.4465,0,0,16.1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493,0,0,0,0,22.7316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS4",0,1.4431,1.0541,0,0,0,0,21.9997,0,0,0,0,0,0,30.1471,4.8525,0,10.4043,3.756,0,0,9.142,4.2617,0,7.7622,0,0,0.4843,0,0,0,0,0,0,0,0,1.962,0,0,0,43.6877,0.2377,21.5011,0,9.0606,6.5782,0,0,7.2994,0,0,0,0,25.8243,0,16.0876,0,12.2314,0,0,0,0,0,1.7764,5.0807,0,0,0,0,0,3.6833,0,3.1107,0.5597,0,0,0,0,0,0,0,0,0.6399,0,0,0,0,0,0,0,0,0,0,0,0,14.5421,0,0,0,0
"SBS5",0,0,0,0,0,0,2.0917,0,0,0,0,0,0,0,0,0,0,5.2116,0,0,0,0,0,0,0,0,0,16.8605,11.5309,0,27.4279,0,0,0,19.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.518,7.6936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9904,0,0,0,0,0,0,0,0,3.1545,0,0,20.5948
"SBS6",0,0,3.9047,2.2001,6.0384,0,0,0,0.7223,0,0,0,0,0,0.0211,0,0,9.8256,0,0,0,3.2589,0,0,0.2802,0,0,5.8513,7.0401,0,0,12.3827,0,0,2.5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3034,0,0,0,0,18.2864,0,0,0,1.2915,0,0,0,0,0,0,0,0,0,5.4204,0,0,0,2.0837,0,0,0.1715,0,6.4698,0,0,0,4.5835,0,0,8.9006,0.94,0,0,0,0,0,0,3.2382,0,0.2238,0,0,6.0832
"SBS7a",1.7234,0,6.9945,0,0,0,0,0,4.3244,0,15.053,0,0.0531,5.9344,0,1.0163,0,0,4.7565,0,0,0,0.5923,0,0,0.7875,5.1457,0,0,0,0,8.3032,0,0,0,3.1783,0.8509,0,5.4816,2.6186,0,0,0,0,0,0,4.6005,1.3204,0,0,0.2239,0,9.5873,0.5338,0,0,0,0,0,0,0,0.0261,0,0,0,8.8755,3.0085,0,0,4.6425,4.331,0,0,0,0,0,0,3.8345,1.3856,0,0,0,0,0,0,0,0,0,0,0.4368,0,6.1248,0,4.8132,0,5.8569,4.5748,0,0,0
"SBS7b",0,0,0.448,0,4.8246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818,0,0,0,0,0,0,0,3.2919,0,0,1.1183,0,0,0,0.7799,0,0,0,0,0,0,0,0,0,1.0459,0,0,0,0,0,0,0,0,0,3.3032,0,0,0,0,0,0,0,1.0494,0,0,0,0,0,1.8196,0,0,0,0,0,0,0,6.8401,0,0,0,0,0,0,0,2.6154,0,0,0,0,0,0,0,0,4.6898
"SBS7c",0,0,0,2.7368,4.5174,1.8238,1.6569,0,0,0.6109,0,0,0,0,0.3743,1.6827,11.1233,0,0,0,0,0,0,0,0,4.6761,2.8951,0,3.1199,0,0,0,0,2.269,2.7122,0,0,0,5.5502,11.067,0,0.8893,0.4095,1.3029,0,4.0608,0.6084,2.7331,0,5.6703,2.5919,3.4553,1.2665,0,1.0556,0,0,1.3024,0,0,0.3183,0,0,0,0,0,4.409,0,0,0,3.529,0,0.1564,2.8997,0,0,1.6909,3.482,0,0.1059,1.1913,0,5.2208,1.2402,0,3.2844,0,0,0,2.7441,0.2744,1.3676,0,0,0.0606,0.9799,0,0.5218,5.5132,6.7108
"SBS7d",0.1043,9.3753,0.8049,0,3.6242,0,0,0.5508,0,0,1.6302,0,0,0,0,0,0,3.0057,0,0,2.3768,1.2094,0,0,0,3.6379,0,0,0,0,0,0.2279,0,1.8218,0,0,0,6.0617,0,0,0,1.8443,0,0.9744,0,0,0,0,2.3724,0.4763,0,0,9.3783,0,1.2613,0.0958,4.8335,0,0,0,1.1469,0,0,0,0,0,0.0375,0,0,0,0,1.2974,0,0.2957,1.7179,0.5163,0,0,0,0,0,2.8572,0.6063,0,0.7907,2.4818,0,0,0.9164,4.4325,0,0,0,3.7277,0,0,0,2.8281,1.5505,0
