"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",0,0,9.9627,2.5277,12.8258,0,0,0,0,0.4594,0,0,9.0557,5.4944,0,16.5381,0,22.216,3.8287,5.0015,0,0.0832,0,1.4296,0,0,0.1837,22.9474,13.6831,19.0981,0,9.9644,0,8.4318,23.1553,9.2834,9.2315,10.2095,5.1521,0.4425,1.0565,7.4071,0,12.3223,2.4599,0,18.9601,3.7885,0,10.3291,6.4039,14.834,0,6.6228,8.9666,2.0812,20.7649,13.6187,0,0.5594,11.2276,17.5864,3.8912,0.4659,7.6921,13.9597,0,11.9577,0,19.2641,15.4818,6.577,0,15.488,0,0,0.4132,3.3619,19.2412,0,0,0,0.3457,21.2248,7.7838,0,2.9576,0,0.9067,0.7674,8.5008,0,0,0,0,16.0645,0,1.9231,5.3643,9.9546
"SBS2",0,0,3.1272,20.6894,0,18.1768,5.3445,0,11.9485,0,27.7883,16.9564,13.1152,0,0,1.5515,3.2838,0.9282,0,22.7629,23.9914,0.5095,9.0988,0,2.1148,4.8931,0.2623,0,0.7243,0.0712,2.5859,1.5613,19.1832,0,0,0,0.8222,0,16.0131,0.8414,0.5709,6.3594,1.0369,16.9694,0.3838,6.5788,7.506,1.9505,3.3905,2.6119,0,0,29.3894,0,0,0.3048,3.7212,4.6101,2.6757,39.2928,0,0,28.2135,0,2.8623,18.3623,0,0.7797,5.4471,7.429,0,0,0.7234,9.3302,30.1126,6.3013,1.7434,24.0078,0,19.1217,15.7859,0.6273,0,19.463,1.7661,7.7717,16.1745,0,0,1.3494,18.5316,5.6457,18.0501,6.9481,34.7417,11.6109,12.8864,1.7467,1.0877,0
"SBS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0451,0,0,0,0,0,0,0,0,0,0,4.5558,0,0,0,0,0,10.3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0329,0,0,0,1.8181,0,16.6917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1632,0,0,18.5975,0,0,0,0,0,18.0644,0,0.8852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS4",5.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0934,0,0,0,0,0,0,0,0,15.0614,0,5.2634,3.2883,9.7838,0,0,0,0,0,0,0,0,0,0,6.054,0,3.4475,0,13.0656,0,11.2431,0,0,0,0,0,0,0,0,42.2925,0,18.4032,0,0,0,0,0,0,4.5419,24.1723,3.1137,0,0,0,0,0,0.6296,0,0,0,0,0,0,0,0,0,0,0,13.2118,0,0,0,0,0,0,40.2983,0,0,11.7882,0,0,0.815,0,0,0,22.038
"SBS5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0348,0,0,0,0.0049,0,0,0,0,17.0502,0,0,0,0,0,0,0,0,0,0,0,0,7.0504,0,0,0,0,0,15.5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4824
"SBS6",0,3.2692,2.2152,0,0,0,0,0,0,1.6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9128,0,0,0,0,0,0,6.0635,6.2808,0,0,0,0,0,0,5.4863,0,0.999,2.6859,0.9861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5808,0,0,0,0,0,7.9333,0,0,6.0652,0,0.1825,0,0,0,11.1767,2.4754,1.4084,0,6.1668,0,2.5638,0,0,0,0.8736,0,0,0,0,0
"SBS7a",5.9805,3.8789,10.3596,4.6956,0,4.6342,0,0.8465,14.58,1.6533,6.1836,0,0,0,7.7115,0,0.8178,0,0,0,0,2.16,4.8305,0,0,0,5.9096,0,0.3755,3.9261,0,0,0,0,0,0,0,0,5.7437,0.9872,0,0,0,5.3611,0,8.2307,1.2943,0,0,0,0,8.2102,0,0,0,0,0,0,8.3419,0,0,0,0,0,1.9345,0,0,0,0,0,0,0.8437,0,0,6.2649,5.8297,0,2.1434,0,8.8035,0,0.0769,0,0,1.7098,0,0,0,0,0,0,4.4917,0,0,2.7058,0,2.2738,1.0227,0,0
"SBS7b",0,2.4112,0,0,0.9907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3617,0,0,0,0.4407,0,0,0,0,0,0,0.8749,0,0,0,0,0,0,0,0,0.1348,0,0,0,0,0,0.8218,0,0.6023,3.5766,0,0,0,0.7812,0,0,0,0,0.3899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2777,2.6138,4.2663,0,0,0,0,0,0,1.1334,0,0,0,0,0,0,0,5.2193,3.4475
"SBS7c",9.9684,8.505,5.9172,3.1771,0.0477,3.9035,0,4.7286,0,9.5147,0,0,2.0357,7.8146,2.9189,0,0.1133,0,7.2528,0,0.687,0,0.5457,0.3154,0,0,5.376,0,1.3403,0,0,6.5655,0,0.8236,0,0,2.4534,1.8365,4.2543,6.3197,1.5563,1.165,0,2.6316,0,7.9098,10.2545,0,0,0,0,7.9077,0,0,0,0,0,5.7358,0.8446,0,0,4.9901,4.1624,0,4.9242,0,0.0272,0.3087,2.8927,0,5.7659,0,2.4044,0.8489,0,1.0892,2.4309,0,0,1.8577,13.9453,0,0,0,0,1.1056,4.2814,0,5.6449,0,0,0,2.9353,1.0865,0,0.8395,0.4949,8.3711,1.1234,0
"SBS7d",0,0,3.7948,0,0,0,0,0,0,6.2751,0.312,0,0,1.3748,0,0,0,2.1289,0,2.7506,0,4.0777,0.2968,0,0,0.7169,0,0,6.3892,3.7555,0,0,0,0,3.6088,0,0,0,0,10.7802,0.8728,0,0.0019,0,0,0,6.4427,0,2.6832,0,0,0,0,0,2.0863,2.3113,0,3.7158,1.8678,0,0,0,0,0,0,0,0,4.47,0,0,1.4819,1.36,0,1.292,0,0,0,0,0,3.1768,0,1.8985,0,2.4968,0.3582,2.3835,0.4532,1.1385,3.6362,6.3468,0,0,0,0,0,0,0,0,0,0.2287
"SBS8",0,0,0,4.0908,13.0002,0,0,0.8649,0.4296,0,0,0,0,0,3.2068,0,7.5397,0,9.6273,0,0,0,0,0,13.1769,0,0,0,0,0,0,0,10.6477,0,0,0,2.0323,0,0,0,0,0,0,0,0,0,3.8494,0,11.7892,0,0,0,0,0,12.7885,13.657,0.8467,2.0116,3.7444,0,0,8.0835,1.0585,11.0095,2.6688,0,3.6671,0,0.8252,0,9.9316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2123,0,0,0,5.4987,0,0.4173,0,0,0,0,10.4469,0,8.2707,1.6931
"SBS9",0,0,1.3913,2.9036,0,0,0,0,0,0,0,0,1.0449,0.1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3186,0,0,0,0,0,0.7266,0,0,0,0,0,0,0.1857,0,0,0,0,0,0,0,3.3603,0,0,0,0,0,0,0,0,0,0,3.4464,0,0,0,0,0,0,0,2.1364,0,0,0,0,0,0,0,0,0,0.1663,0,0,0,0,0,0,4.3876,0,0.2356,0
"SBS10a",0.1729,6.3942,0,0,0,0,8.9329,0,0,4.1506,1.4065,0,0.5079,0,0,4.541,0,0,3.1294,4.9366,0,0.7794,0,0,0,0,1.0759,0,2.6325,0,0,0.2921,0,0.5775,0,10.9153,0,0,0.4473,7.3563,1.2588,8.5928,1.1428,0,0,0,1.8811,0,2.0479,2.9364,0,0,0,0,0,3.9165,0.9245,0,0,0,0,1.5209,0,4.1661,0,0.6519,0,4.4076,18.1305,3.565,0,0,0,0,0,0,5.91,0,1.3813,0,0,0.3116,2.6396,0,0,0,0,2.1788,6.3454,6.4974,0.4031,0,2.1282,0,1.3393,3.4371,0,3.478,1.6898,5.2679
"SBS10b",2.3055,0,0,0,0,2.9243,6.4931,0,5.173,3.6768,0,0,0,3.1204,0,0,0,0,0.2252,4.9262,0,2.7093,0,0,0.6757,0,0.337,0,1.9472,0,0,3.5517,1.9054,6.5846,0,0,0,0,1.4894,0.2842,0,2.9998,1.7578,0.7042,0,0,7.5476,0,0,0.3732,2.2849,0,0,0,0,0,0,0,1.7956,0,1.9829,0,0,1.1432,0,0,0,2.0663,0.7077,1.5113,0,3.0153,0,0,0,3.5009,2.6087,0,0,2.9173,0,1.0601,2.4231,0.3369,6.2135,2.8646,0,0,4.1386,0,3.8581,8.1433,0.2201,2.6861,0,0,0,0.3973,0,2.5096
"SBS11",0,0.8504,1.4955,0,0,0,0,0,5.0658,5.3908,0,0,0,0,0,0.1938,0,0,0,0,0,0,0,0,4.8459,0,0,0,0,0,0,0,0,0.8677,3.333,0,0,0,0,0,0,0,0,0,0,0,0,2.8329,0,0,0.9956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2345,1.0864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1324,0,0,3.7005,0,0,0,0,2.1722,0
"SBS12",0,3.8103,0,0,4.1705,0,0,4.2464,0,0,5.1059,0,0,0,2.211,12.3248,0,0,0,0,0,1.5075,1.304,13.5263,0,0,0,0,0,0,0,0,0,1.826,0,0,7.4359,1.4094,0,0.9245,0,1.3889,0,0,5.8703,9.682,0,0,7.0745,3.652,0,0,7.3088,7.2906,7.0906,0,0,0,0,0,2.5707,0,0,0,0,0,0,0,6.5886,0,7.1077,13.253,0,0,10.416,0.3727,11.2056,0,0,2.0516,0,0,14.3817,0,0,0,0,0,0,6.0745,2.1285,0,0,15.3272,0,0,0,0.0098,0,2.8957
"SBS13",3.0521,0,0.715,17.2874,2.3847,3.6546,3.5699,0.2833,30.631,1.6136,42.4261,9.7931,13.0259,0,0,0,0,0,0,39.1375,15.1605,1.5892,21.1099,0.0551,0.0379,4.7321,3.2916,2.1421,8.7044,1.137,0,14.5478,18.0187,7.897,0,0,1.4481,0.8345,5.0454,2.2779,0,0,2.3107,12.1857,0.813,18.2287,0.624,0.5202,0.451,11.6183,24.9196,4.1517,23.8742,0.13,2.1441,2.8776,0.4041,1.3036,25.4149,35.3882,0,1.0562,19.3628,0,16.7055,11.6381,18.0467,1.1768,0,0.8642,7.4978,0.7993,0,11.238,15.2392,10.7749,0,37.0969,0,29.8689,11.7595,14.9274,5.4083,0.2815,0,21.9639,21.9223,2.5826,13.0286,0.8391,0,17.44,11.8449,8.3007,15.5007,10.8024,6.4026,0.0992,2.0033,0
"SBS14",0,0,0,0,0,2.3403,0,0,0,0,0,0,0.292,0,0,0,4.4551,0,0,0,3.0993,0,0,0,1.8688,0,0,0,0,0,0,2.039,0,0,0,0,0,0,0,0,0,13.5481,0,0.5146,0,0,2.017,1.2906,0,0,0,0,5.0903,0,0,2.7191,0,1.8824,0,0,0,0.03,0,0,0,0.2577,0,5.7973,2.4855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8973,0,0,0,0,0,0,0,0
