"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",3586.2508,3173.0904,12714.9601,5503.2573,5192.7803,1349.6199,2836.4735,1355.6501,613.7966,5679.6043,2610.36,3247.8459,5092.9153,8031.6458,306.4533,5854.727,2958.9666,7830.5621,4387.5201,1872.4905,5367.9956,4136.7954,994.376,978.7036,411.1095,3960.8576,2810.9483,6093.5621,5050.6577,6033.852,3810.1076,5231.1516,4050.1458,5277.5748,5950.5539,7121.8208,2842.0261,4988.6737,4157.3133,3515.4981,235.2004,5482.6335,1395.181,4852.8732,1445.7757,829.8981,10972.1637,4794.4425,3093.1457,5939.7701,4747.1484,6207.572,3864.1253,273.0432,6849.5355,26.8604,5900.6908,6694.2997,2656.7571,2727.668,4291.0338,6649.2908,2766.4773,214.3488,5302.2792,4718.5402,1214.334,5601.7897,3659.8097,11359.8209,6131.7857,7228.754,3155.9565,4141.8154,4245.4404,3386.631,2578.1379,3516.9121,7623.8273,2946.2569,791.7841,3182.8446,1266.8834,6070.5629,5708.6506,1781.7744,5080.5365,1851.6093,6824.1949,79.8523,6479.7583,5315.6031,3784.5465,511.3297,2240.6839,7253.0897,1580.4903,3046.5127,6026.0074,6580.7694
"SBS2",142.12,3873.8054,4437.9626,11853.1257,2685.7755,8196.5845,2757.667,1375.6172,13796.6279,2233.9079,15909.2393,8411.6337,6521.2511,2552.8932,1070.0363,2498.0059,3898.1652,3197.948,458.7319,13248.6032,11495.9138,2421.3476,4989.7069,1410.3401,966.0895,200.81,372.3957,3871.0566,3596.3101,2602.4383,58.4256,4379.9859,4841.3649,2036.7956,3940.5479,3183.5272,2540.3426,2697.3468,6966.6644,1594.6953,703.9255,3788.7635,1196.1129,10129.2059,1286.8373,4468.6601,4375.1848,4018.503,800.1379,4279.5138,3533.0473,2189.8918,12088.2824,836.8747,255.9145,662.3778,1988.4891,2543.8974,7297.5899,16008.0795,2811.5359,2887.1768,13629.0103,1194.2364,2418.3142,10013.1948,3168.0844,2557.1283,0,4234.0865,2414.0395,2764.6692,1561.3758,6777.12,13986.9397,6863.2481,2523.1387,12626.0641,2952.4766,15110.6657,4618.0562,3437.9292,566.9246,9542.6991,2480.9554,6200.3673,6540.6893,926.6421,3602.3375,926.2511,9682.6671,6633.3604,11027.5944,4006.4784,13639.1986,4364.8531,7831.6437,2739.3151,2027.5477,2176.9308
"SBS3",0,0,0,0,339.3665,0,0,1939.7984,0,0,0,0,1137.6947,0,1860.0773,1016.0078,0,0,0,0,0,0,2955.2061,0,0,0,164.9753,665.5418,0,0,0,0,0,0,2751.6738,0,0,340.2111,0,4899.7982,0,0,1079.9912,0,0,689.9983,0,0,0,0,582.0571,3598.0811,0,0,0,0,0,0,3523.7554,0,0,0,0,213.3545,0,0,0,0,0,970.4363,0,0,2202.6874,2458.8591,0,0,0,0,0,0,0,0,0,0,0,0,983.1376,0,0,0,0,0,0,18322.628,0,0,670.6843,0,1418.4018,0
"SBS4",0,0,37.72,0,0,0,0,9073.6999,0,111.5827,0,0,0,850.1504,22538.4261,0,0,0,0,0,1936.7038,0,402.8617,12174.6147,14277.8697,0,0,3225.4872,0,0,0,0,267.098,0,1885.5908,0,595.3847,413.2137,0,663.5568,16312.8187,0,13241.0503,0,7311.0915,0,0,1022.5243,5865.1108,1761.5615,0,2936.0118,1239.2613,16674.2781,580.1667,17138.2173,6.2267,1416.2809,0,115.6209,0,0,0,17310.4761,0,0,1626.0132,0,66.198,0,0,2523.5462,2163.76,889.6106,936.0812,0,0,0,0,0,0,2071.2952,6662.8104,0,4.4618,0,2179.0378,0,648.4637,19072.5443,0,960.2776,0,0,0,578.2455,0,0,0,0
"SBS5",10837.222,6539.7036,20201.6647,8796.4459,14759.7782,12179.604,15175.0808,19820.9799,2796.1389,24316.3734,4541.4263,6207.3425,10704.0832,21587.7961,13624.3764,14899.9108,11434.1521,8430.2027,9998.5874,4151.7811,13817.7173,19373.2513,875.9227,19639.0334,14160.2548,6149.1914,2442.6979,15452.0635,17117.7523,11194.9266,5754.6205,22840.4005,413.5058,9632.031,9659.1232,15150.1044,19390.6424,11207.2391,9397.2074,4318.3109,17017.7639,17400.1259,21559.5878,2855.8573,20863.5928,3851.2797,18655.9259,13059.0717,11999.7369,17271.7932,14301.0078,8988.0307,9333.0275,13425.799,10719.1694,6500.1002,9514.1003,10901.5963,0,5389.4786,15957.1291,12980.9643,12274.8984,16371.5645,4786.9196,7569.628,9575.8747,19393.6916,10426.4336,20562.2165,4702.309,18617.5641,6992.0099,6978.357,12915.0893,7083.5666,9592.848,9296.9594,17195.1328,4315.5002,3645.0564,13559.1258,7266.2435,17967.1886,18886.7611,18627.9574,8190.5712,10719.1783,20876.9028,15123.1838,19981.6328,16399.1615,394.8474,10429.3796,13401.8643,19842.0732,12531.2319,11386.0609,6985.3059,19183.368
"SBS6",0,0,0,0,630.3097,0,295.6481,263.9792,0,0,0,0,496.8577,0,0,0,0,177.5419,0,89.0822,0,0,103.5616,511.9964,0,0,391.2583,325.7795,0,0,0,0,0,0,662.7548,184.9429,0,607.1992,0,476.2796,0,828.476,447.7113,0,0,0,0,0,0,0,12.0751,0,0,0,0,0,0,0,658.4548,0,685.2103,0,0,0,217.1602,0,296.0807,60.6602,0,0,97.4029,0,587.5655,0,0,593.1265,548.3839,0,0,350.0293,0,0,86.6909,0,0,0,646.6471,387.5929,0,561.9039,0,0,0,64.6177,0,0,0,596.4122,146.7317,0
"SBS7a",0,0,0,0,343.529,0,0,163.5699,0,0,0,0,0,0,17.1303,4.589,0,31.9645,0,0,0,0,285.6101,0,56.2153,0,0,0,62.3551,56.4985,0,0,0,219.6127,20.0455,0,0.417,0,0,165.5938,0,0,394.2389,0,0,1147.0613,0,0,0,182.8413,0,181.9403,0,0,0,0,4.641,0,0,0,0,0,0,0,0,0,0,5.0705,190.9291,80.8588,0,0,0,0,0,0,0,0,0,0,935.4759,0,0,0,0,217.2997,0,0,0,0,0,0,0,0,0,41.9313,0,0,348.2126,170.4617
"SBS7b",0,0,11.6535,0,171.7616,0,0,34.3267,0,530.9738,52.6092,0,478.5707,0,0,248.6553,0,0,538.8741,0,571.4425,0,2235.4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.1773,0,0,363.4268,0,97.0218,0,0,0,660.9795,0,0,0,0,368.4538,0,0,0,0,0,0,0,542.8352,0,0,0,262.3509,136.3963,0,331.7229,0,0,303.3169,0,0,454.6145,312.2073,0,0,0,56.2476,271.2114,0,586.6369,0,0,333.7316,0,0,0,145.5048,0,0,0,0
"SBS7c",897.1704,0,122.0633,126.0841,42.8481,1175.9542,0,79.8484,0,1.8539,604.2095,1032.881,55.4485,26.1104,66.772,0,438.7736,0,553.8193,0,477.2437,0,177.294,0,327.1395,0,89.5496,198.8441,841.4181,0,0,624.9002,2553.2977,729.222,210.3296,36.3258,0,0,0,237.5042,212.5574,0,229.3177,0,358.6299,0,0,184.8505,52.6609,59.031,0,52.9228,254.8946,668.8381,463.7038,2150.0875,988.8731,0,1979.7938,58.5905,0,668.1807,654.4762,0,847.7564,927.405,0,144.7003,0,715.1614,40.7829,181.0152,306.1891,0,76.3123,1978.6294,1990.6765,139.3267,715.4879,882.8589,949.6573,489.6645,0,0,0,0,123.5411,1876.5835,43.5708,0,0,48.383,2151.9645,0,0,149.0544,1092.7189,0,857.1114,721.4139
"SBS7d",0,37.9962,32.0408,0,0,0,0,0,106.2033,46.8126,0,11.2741,119.9304,16.1147,33.5782,20.4155,0,0,0,0,138.3685,0,314.9785,29.8047,0,117.9073,0,128.0577,0,65.3593,0,0,0,0,0,0,0,0,0,0,0,0,0,195.1896,25.2867,199.9215,0,17.9107,77.7937,133.0202,0,155.528,0,37.9445,54.1912,0,0,0,0,47.4298,0,0,6.2347,58.4354,0,40.2648,0,0,0,64.9914,76.0512,152.1621,0,0,0,0,0,72.7384,0,0,87.3264,103.1333,0,0,0,20.4705,61.7934,0,36.3252,0,0,37.4452,0,0,0,0,2.084,22.0053,34.6968,0
